year,Adachi Ward,Akiruno City,Akishima City,Arakawa Ward,Bunkyo Ward,Chiyoda Ward,Chofu City,Chuo Ward,Edogawa Ward,Fuchu City,Fussa City,Hachijo Town,Hachioji City,Hamura City,Higashikurume City,Higashimurayama City,Higashiyamato City,Hino City,"Hinode Town,Nishitama County","Hinohara Village,Nishitama County",Inagi City,Itabashi Ward,Katsushika Ward,Kita Ward,Kiyose City,Kodaira City,Koganei City,Kokubunji City,Komae City,Koto Ward,Kunitachi City,Machida City,Meguro Ward,Minato Ward,Mitaka City,Miyake Village,"Mizuho Town,Nishitama County",Musashimurayama City,Musashino City,Nakano Ward,Nerima Ward,Nishitokyo City,Ogasawara Village,"Okutama Town,Nishitama County",Oshima Town,Ota Ward,Oume City,Setagaya Ward,Shibuya Ward,Shinagawa Ward,Shinjuku Ward,Suginami Ward,Sumida Ward,Tachikawa City,Taito Ward,Tama City,Toshima Ward
2009,,100000.0,180382.77511961723,292307.6923076923,618181.8181818182,1302777.7777777778,307692.3076923077,763657.4074074074,257881.77339901478,263636.36363636365,160386.4734299517,6426.52944539737,124137.93103448275,164285.7142857143,187500.0,188690.47619047618,166666.66666666666,195046.2962962963,134656.08465608465,34833.16481294237,227391.30434782608,280000.0,266666.6666666667,322064.7773279352,218695.65217391303,230180.18018018018,286250.0,245555.55555555556,290454.5454545454,358888.8888888889,333333.3333333333,160000.0,692307.6923076923,1022222.2222222222,331098.90109890106,5928.571428571428,88061.4657210402,97777.77777777778,416000.0,415384.6153846154,335857.14285714284,273809.5238095238,,25899.4708994709,2250.0,443560.6060606061,95454.54545454546,526610.6442577031,635714.2857142857,551724.1379310344,533333.3333333334,425000.0,296296.2962962963,216333.3333333333,377777.77777777775,131547.61904761905,475454.5454545454
2010,213333.33333333334,101428.57142857142,174074.07407407407,340206.1855670103,693280.6324110671,1051470.588235294,300000.0,575000.0,292307.6923076923,,166666.66666666666,4011.2028301886794,107692.30769230769,186440.6779661017,227272.72727272726,168750.0,152753.62318840582,192982.45614035087,68181.81818181818,23888.88888888889,208695.65217391305,353846.1538461539,250000.0,342857.14285714284,170666.6666666667,204166.6666666667,271666.6666666667,235294.11764705883,316783.2167832168,391576.0869565217,317500.0,154929.57746478874,695238.0952380953,1009090.9090909092,317647.0588235294,5027.027027027027,70312.5,,464102.5641025641,378333.3333333333,330000.0,262828.947368421,,11250.0,10771.324863883847,500000.0,90944.44444444444,529705.8823529412,685714.2857142857,585164.8351648352,640000.0,428571.4285714286,347756.41025641025,208695.65217391305,465384.6153846154,162962.96296296295,488888.8888888889
2011,225806.4516129032,112000.0,208333.33333333334,346153.8461538461,625000.0,771428.5714285715,297142.85714285716,1000000.0,258064.51612903227,272727.2727272727,183333.33333333334,10000.0,127272.72727272728,123809.52380952382,217391.30434782608,169782.60869565216,178896.1038961039,197222.22222222222,92857.14285714286,,211764.70588235295,338278.3882783883,244722.22222222222,364705.8823529412,194699.8946998947,234181.81818181818,235000.0,240018.14882032666,272363.63636363635,492307.6923076923,342528.7356321839,160000.0,700000.0,1086538.4615384615,309172.4137931034,,93333.33333333333,122222.22222222222,438445.37815126055,412275.1322751323,338461.53846153844,259696.96969696967,22000.0,37142.857142857145,5576.923076923077,506666.6666666667,112500.0,538446.9696969697,714285.7142857143,618181.8181818182,581321.8390804598,477777.77777777775,390000.0,210597.82608695654,569230.7692307692,184307.35930735932,484210.5263157895
2012,222857.14285714287,95328.28282828283,165517.24137931035,300000.0,762643.6781609196,1000000.0,284962.4060150376,485714.28571428574,279069.76744186046,250000.0,157526.8817204301,5072.463768115942,116129.03225806452,166666.66666666666,184615.38461538462,165217.39130434784,171008.40336134454,172878.78787878787,74720.89314194577,24281.6091954023,227272.72727272726,,233333.33333333334,333333.3333333333,164285.7142857143,213888.88888888888,291666.6666666667,250000.0,257738.09523809524,434057.97101449274,279220.7792207792,156250.0,683281.73374613,928571.4285714285,313043.47826086957,4544.690860215054,83333.33333333333,118939.39393939395,456000.0,425543.47826086957,322222.22222222225,227272.72727272726,,19542.124542124544,3423.076923076923,454545.45454545453,82051.28205128205,538461.5384615385,828431.3725490196,,575757.5757575758,463636.36363636365,328853.7549407115,216666.66666666666,512500.0,145925.92592592593,464000.0
2013,217894.73684210528,73116.2196679438,167714.2857142857,324242.42424242425,695454.5454545454,1025000.0,301515.1515151515,825833.3333333334,272727.2727272727,230983.30241187382,130303.0303030303,5880.398671096345,112500.0,156896.55172413794,190271.49321266968,152173.91304347827,155397.7272727273,175000.0,52107.8431372549,4382.847038019452,200000.0,333333.3333333333,237566.1375661376,346153.8461538461,169696.9696969697,215384.61538461538,306227.1062271062,247619.04761904763,313636.36363636365,487173.2026143791,311518.66151866154,150000.0,713392.8571428572,1030000.0,291666.6666666667,2560.7638888888887,95652.17391304347,108174.60317460317,,408333.3333333333,343864.01326699834,265000.0,,16190.47619047619,,450000.0,107387.3873873874,561111.111111111,825757.5757575758,596428.5714285714,651666.6666666667,452631.5789473684,340000.0,208928.57142857142,457142.85714285716,225526.31578947368,560000.0
2014,230151.51515151514,96875.0,188888.88888888888,406428.5714285714,537500.0,,300000.0,853333.3333333334,286004.0567951319,264482.7586206896,130666.66666666667,,121212.12121212122,,238461.53846153847,,162500.0,,,,230769.23076923078,322727.2727272727,212681.15942028986,390000.0,181601.73160173162,206666.66666666666,321538.4615384615,250000.0,310416.6666666667,,283756.8058076225,105405.4054054054,704000.0,1056722.6890756302,,,106876.45687645688,119851.85185185185,563636.3636363636,,353113.5531135531,272000.0,16860.07130124777,610.1694915254237,9090.90909090909,498148.14814814815,,590000.0,778888.8888888889,,539393.9393939395,,325000.0,200000.0,358152.17391304346,148148.14814814815,
