"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
66,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Nishiokamoto","Sumiyoshi (JR/Rokko Liner)","15",63000000,"","180",350000,"Semi-trapezoidal Shaped","14.1","","","","","Northwest","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",50,100,"2nd quarter 2014",""
67,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Nishiokamoto","Sumiyoshi (JR/Rokko Liner)","11",50000000,"3LDK","85",,"","","","2003","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
68,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Nishiokamoto","Sumiyoshi (JR/Rokko Liner)","11",57000000,"4LDK","90",,"","","","2003","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
69,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Nishiokamoto","Settsumotoyama","12",42000000,"4LDK","85",,"","","","1996","RC","House","","",,"Category 2 Exclusive Mid-high Rise Residential District",60,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
70,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaekitamachi","Ashiya (Hanshin)","7",98000000,"","370",260000,"Semi-trapezoidal Shaped","10.7","","","","","South","Agricultural Road",12.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
71,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaekitamachi","Ashiya (Hanshin)","9",8300000,"1K","20",,"","","","1997","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
72,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaekitamachi","Fukae (Hyogo)","4",8900000,"1LDK","40",,"","","","1990","SRC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
73,"Residential Land(Land Only)","Industrial Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaehamamachi","Fukae (Hyogo)","14",190000000,"","1600",120000,"Semi-square Shaped","39.0","","","","","South","City Road",15.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
74,"Residential Land(Land and Building)","Industrial Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaehamamachi","Fukae (Hyogo)","14",110000000,"","1700",,"Rectangular Shaped","30.6","2,000 m^2 or greater.","1974","RC","Warehouse","South","City Road",15.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
75,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaehommachi","Fukae (Hyogo)","1",21000000,"3LDK","70",,"","","","","SRC","House","","",,"Near Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
76,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaehommachi","Fukae (Hyogo)","1",78000000,"Open Floor","180",,"","","","1998","SRC","Shop","","",,"Near Commercial District",,,"2nd quarter 2014","Dealings of non-redecorating real estate"
77,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaehommachi","Fukae (Hyogo)","5",25000000,"3LDK","65",,"","","","2007","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014",""
78,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaeminamimachi","Ashiya (Hanshin)","10",28000000,"2LDK","60",,"","","","2000","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
79,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaeminamimachi","Ashiya (Hanshin)","11",26000000,"3LDK","75",,"","","","","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
80,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaeminamimachi","Ashiya (Hanshin)","9",28000000,"3LDK","85",,"","","","2005","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
81,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaeminamimachi","Fukae (Hyogo)","6",4800000,"2LDK","50",,"","","","1985","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
82,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaeminamimachi","Fukae (Hyogo)","9",10000000,"3LDK","60",,"","","","1986","SRC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
83,"Pre-owned Condominiums, etc.","","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Fukaeminamimachi","Fukae (Hyogo)","8",14000000,"3LDK","70",,"","","","1998","RC","House","","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
84,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Honjocho","Konan-yamate","8",44000000,"","195",220000,"Irregular Shaped","8.0","","","","","Southwest","City Road",7.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
85,"Residential Land(Land and Building)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikage","Mikage (Hankyu)","10",110000000,"","120",,"Semi-rectangular Shaped","17.2","410","1989","RC","Housing Complex, Shop","North","City Road",27.0,"Category 2 Exclusive Mid-high Rise Residential District",30,300,"2nd quarter 2014",""
86,"Residential Land(Land Only)","Residential Area","28101","Hyogo Prefecture","Higashinada Ward,Kobe City","Mikage","Mikage (Hankyu)","10",37000000,"","95",390000,"Semi-rectangular Shaped","7.5","","","","","South","City Road",3.8,"Category 1 Exclusive Low Rise Residential District",60,150,"2nd quarter 2014",""
