"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
115,"Residential Land(Land Only)","Potential Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Sendamachi","Kanazawa","1H-1H30",15000000,"","490",31000,"Irregular Shaped","18.8","","","","","West","Prefectural Road",25.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
116,"Agricultural Land","","17201","Ishikawa Prefecture","Kanazawa City","Sendamachi","","",57000000,"","1900",,"","","","","","","","",,"",,,"2nd quarter 2014",""
117,"Agricultural Land","","17201","Ishikawa Prefecture","Kanazawa City","Sendamachi","","",29000000,"","1000",,"","","","","","","","",,"",,,"2nd quarter 2014",""
118,"Agricultural Land","","17201","Ishikawa Prefecture","Kanazawa City","Sendamachi","","",5500000,"","195",,"","","","","","","","",,"",,,"2nd quarter 2014",""
119,"Agricultural Land","","17201","Ishikawa Prefecture","Kanazawa City","Sendamachi","","",86000000,"","2900",,"","","","","","","","",,"",,,"2nd quarter 2014",""
120,"Agricultural Land","","17201","Ishikawa Prefecture","Kanazawa City","Sendamachi","","",55000000,"","1800",,"","","","","","","","",,"",,,"2nd quarter 2014",""
121,"Agricultural Land","","17201","Ishikawa Prefecture","Kanazawa City","Sendamachi","","",6400000,"","360",,"","","","","","","","",,"",,,"2nd quarter 2014",""
122,"Residential Land(Land Only)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Daikumachi","Kanazawa","30-60minutes",60000000,"","320",180000,"Semi-rectangular Shaped","15.6","","","","","Northwest","City Road",4.5,"Commercial District",80,400,"2nd quarter 2014",""
123,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Takaodai","Kanazawa","1H30-2H",24000000,"","170",,"Semi-rectangular Shaped","6.8","105","2014","W","House","Northeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
124,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Tagamihommachi","Kanazawa","1H30-2H",10000000,"","220",47000,"Semi-shaped","18.0","","","","","Southeast","City Road",6.0,"Urbanization Control Area",60,100,"2nd quarter 2014",""
125,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Tagamihommachi","Kanazawa","1H30-2H",8800000,"","195",45000,"Square Shaped","13.4","","","","","Northeast","City Road",5.4,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
126,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Tagamihommachi","Kanazawa","1H30-2H",14000000,"","220",64000,"Rectangular Shaped","10.7","","","","","South","City Road",17.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
127,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Takayanagimachi","Kanazawa","30-60minutes",14000000,"3LDK","65",,"","","","1999","SRC","House","","",,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings of redecorated real estate"
128,"Forest Land","","17201","Ishikawa Prefecture","Kanazawa City","Tachiyamamachi","","",71000,"","240",,"","","","","","","","",,"",,,"2nd quarter 2014",""
129,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Tamagawacho","Kanazawa","12",10000000,"3LDK","70",,"","","","1987","SRC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014",""
130,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Tamaboko","Kanazawa","30-60minutes",10000000,"","180",56000,"Rectangular Shaped","9.0","","","","","East","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
131,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Chikaokamachi","Kanazawa","30-60minutes",24000000,"","710",34000,"Semi-trapezoidal Shaped","18.5","","","","","West","City Road",7.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
132,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Chikaokamachi","Kanazawa","30-60minutes",15000000,"","185",82000,"Rectangular Shaped","11.0","","","","","South","City Road",7.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
133,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Chikaokamachi","Kanazawa","30-60minutes",27000000,"","350",77000,"Semi-square Shaped","19.4","","","","","South","City Road",7.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
134,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Chuodorimachi","Kanazawa","23",3900000,"","50",76000,"Semi-rectangular Shaped","3.0","","","","","Southwest","City Road",7.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
135,"Pre-owned Condominiums, etc.","","17201","Ishikawa Prefecture","Kanazawa City","Tsuchishimizu","Kanazawa","1H30-2H",1000000,"1R","15",,"","","","1993","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014",""
136,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Teramachi","Kanazawa","30-60minutes",10000000,"","190",,"Semi-rectangular Shaped","9.6","180","1986","W","Housing Complex","Southwest","City Road",2.7,"Category 1 Residential District",60,200,"2nd quarter 2014",""
137,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Teramachi","Kanazawa","30-60minutes",14000000,"","220",,"Semi-rectangular Shaped","10.0","105","1951","W","House","Northwest","City Road",2.2,"Category 1 Residential District",60,200,"2nd quarter 2014",""
138,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Tenjimmachi","Kanazawa","30-60minutes",4300000,"","95",45000,"Rectangular Shaped","7.8","","","","","Southeast","City Road",4.3,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
139,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Toriki","Kanazawa","30-60minutes",19000000,"","420",45000,"Semi-rectangular Shaped","14.0","","","","","South","City Road",8.5,"Semi-industrial District",60,200,"2nd quarter 2014",""
140,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Toriki","Kanazawa","30-60minutes",11000000,"","135",78000,"Rectangular Shaped","8.5","","","","","North","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
141,"Residential Land(Land and Building)","Commercial Area","17201","Ishikawa Prefecture","Kanazawa City","Togashi","Kanazawa","1H-1H30",8000000,"","155",,"Rectangular Shaped","8.0","90","1976","W","House","South","City Road",16.0,"Category 2 Residential District",60,200,"2nd quarter 2014",""
142,"Residential Land(Land Only)","Potential Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Naoemachi","Kanazawa","1H-1H30",30000000,"","660",45000,"Rectangular Shaped","38.0","","","","","West","Access Road",6.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
143,"Residential Land(Land Only)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Naoemachi","Kanazawa","30-60minutes",11000000,"","150",75000,"Rectangular Shaped","8.7","","","","","Southeast","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
144,"Residential Land(Land and Building)","Residential Area","17201","Ishikawa Prefecture","Kanazawa City","Nagasaka","Kanazawa","1H-1H30",4600000,"","125",,"Irregular Shaped","2.4","100","1981","W","House","Northwest","City Road",5.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
