"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
46,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Goshonomotomachi","Yotsugoya","30-60minutes",10000000,"","340",,"Rectangular Shaped","14.8","185","1998","W","House","Southwest","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
47,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Sakuradai","Akita","30-60minutes",35000000,"","200",,"Square Shaped","14.4","","","","","South","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
48,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Sanno","Akita","30-60minutes",16000000,"","280",56000,"Rectangular Shaped","15.5","","","","","South","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
49,"Residential Land(Land and Building)","Commercial Area","05201","Akita Prefecture","Akita City","Sanno","Akita","30-60minutes",20000000,"","175",,"Rectangular Shaped","7.7","250","1998","W","Housing Complex","East","City Road",4.0,"Near Commercial District",80,200,"2nd quarter 2014",""
50,"Pre-owned Condominiums, etc.","","05201","Akita Prefecture","Akita City","Sanno","Akita","30-60minutes",32000000,"4LDK","80",,"","","","2011","RC","House","","",,"Near Commercial District",80,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
51,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Sannonakajimamachi","Akita","30-60minutes",9900000,"","165",60000,"Rectangular Shaped","9.1","","","","","East","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
52,"Agricultural Land","","05201","Akita Prefecture","Akita City","Shimoshinjoiwaki","","",800000,"","2000",,"","","","","","","","",,"",,,"2nd quarter 2014",""
53,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Shogunnokatsuracho","Tsuchizaki","25",7000000,"","260",27000,"Rectangular Shaped","17.0","","","","","West","City Road",4.5,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
54,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Shogunnokatsuracho","Tsuchizaki","24",14000000,"","220",,"Square Shaped","15.0","180","1993","W","House","East","City Road",4.4,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
55,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Shogunnohigashi","Tsuchizaki","24",5500000,"","100",,"Irregular Shaped","13.0","70","1993","W","House","Southeast","City Road",4.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
56,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Shogunnohigashi","Tsuchizaki","18",4500000,"","240",19000,"Rectangular Shaped","12.4","","","","","South","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates, Dealings including private road"
57,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Shogunnohigashi","Tsuchizaki","23",17000000,"","135",,"Rectangular Shaped","10.0","85","2014","W","House","West","City Road",4.2,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
58,"Residential Land(Land Only)","Residential Area","05201","Akita Prefecture","Akita City","Shogunnohigashi","Tsuchizaki","18",1800000,"","125",14000,"Semi-rectangular Shaped","5.5","","","","","South","Private Road",3.6,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
59,"Residential Land(Land Only)","Commercial Area","05201","Akita Prefecture","Akita City","Shogunnominami","Tsuchizaki","23",9400000,"","200",46000,"Rectangular Shaped","12.5","","","","","Southwest","Prefectural Road",24.0,"Near Commercial District",80,200,"2nd quarter 2014",""
60,"Residential Land(Land and Building)","Residential Area","05201","Akita Prefecture","Akita City","Shogunnominami","Tsuchizaki","29",13000000,"","320",,"Semi-trapezoidal Shaped","16.2","125","1967","W","House","Southeast","City Road",4.0,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
