"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
22,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Kawanakajimamachi","Imai","14",15000000,"","220",,"Irregular Shaped","","120","1979","W","House","East","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
23,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Kawanakajimamachi","Imai","23",9500000,"","150",62000,"Semi-trapezoidal Shaped","11.0","","","","","Southeast","Private Road",4.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
24,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Kawanakajimamachi","Kawanakajima","16",9000000,"","180",50000,"Semi-shaped","11.0","","","","","Northeast","City Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
25,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Kawanakajimamachi","Kawanakajima","14",11000000,"","320",,"&quot;Flag-shaped&quot; etc.","","150","1972","W","House","Southwest","City Road",6.0,"Urbanization Control Area",60,200,"2nd quarter 2014",""
26,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Kawanakajimamachi","Kawanakajima","14",9900000,"","250",39000,"&quot;Flag-shaped&quot; etc.","","","","","","North","City Road",5.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
27,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Kawanakajimamachi","Shinonoi","18",6800000,"","300",23000,"Semi-trapezoidal Shaped","4.0","","","","","Northeast","City Road",6.0,"Category 2 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
28,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Kawanakajimamachi","Shinonoi","20",28000000,"","195",,"Semi-trapezoidal Shaped","17.0","115","2006","LS","House","Northwest","City Road",6.0,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
29,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Kitaowaribe","Asahi","16",9900000,"","170",58000,"Irregular Shaped","7.0","","","","","Northeast","Road",5.0,"Semi-industrial District",60,200,"2nd quarter 2014","Dealings including private road"
30,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Kitaowaribe","Asahi","16",11000000,"","180",64000,"Irregular Shaped","7.5","","","","","North","Private Road",5.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
31,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Kitanagaike","Asahi","24",1200000,"","95",,"Semi-shaped","9.0","110","1982","W","House","East","Prefectural Road",6.0,"Urbanization Control Area",60,200,"2nd quarter 2014","Dealings in which auction or arbiter participates"
32,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Kurita","Nagano (JR)","13",17000000,"","170",100000,"Semi-rectangular Shaped","10.0","","","","","South","City Road",5.5,"Category 1 Residential District",60,200,"2nd quarter 2014",""
33,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Kurita","Nagano (JR)","25",16000000,"","200",81000,"Trapezoidal Shaped","13.0","","","","","East","City Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
34,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Kurita","Nagano (JR)","9",55000000,"","270",,"Irregular Shaped","2.5","","","","","South","City Road",6.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings including private road"
35,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Kojima","Fuzokuchugakumae","10",17000000,"","195",,"Semi-trapezoidal Shaped","12.5","120","1981","","House","Southwest","City Road",5.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
36,"Forest Land","","20201","Nagano Prefecture","Nagano City","Sakanaka","","",510000,"","560",,"","","","","","","","",,"",,,"2nd quarter 2014",""
37,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Sambon-yanagihigashi","Kawanakajima","21",32000000,"","510",63000,"Rectangular Shaped","26.5","","","","","South","City Road",6.0,"",,,"2nd quarter 2014",""
38,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Shinonoiombegawa","Shinonoi","8",14000000,"","240",59000,"Semi-shaped","14.0","","","","","East","City Road",4.8,"Category 1 Residential District",60,200,"2nd quarter 2014",""
39,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Shinonoikinebuchi","Shinonoi","30-60minutes",34000000,"","240",,"Semi-rectangular Shaped","13.0","125","","","","West","Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
40,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Shinonoitofukuji","Shinonoi","30-60minutes",9700000,"","230",42000,"Semi-trapezoidal Shaped","21.5","","","","","South","City Road",25.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
41,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Shinonoifusetakada","Shinonoi","10",10000000,"","165",61000,"Semi-square Shaped","12.0","","","","","South","City Road",3.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
42,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Shinonoifusetakada","Shinonoi","11",9300000,"","170",55000,"Semi-rectangular Shaped","11.0","","","","","West","Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
43,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Shinonoifusetakada","Shinonoi","11",9300000,"","200",46000,"Irregular Shaped","6.0","","","","","West","Road",5.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
44,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Shinkomachi","Nagano (JR)","2H-",4900000,"","650",,"Semi-rectangular Shaped","19.0","155","1990","W","House","East","Prefectural Road",6.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
45,"Agricultural Land","","20201","Nagano Prefecture","Nagano City","Shinkomachi","","",50000,"","960",,"","","","","","","","",,"",,,"2nd quarter 2014",""
46,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Shinshushimmachihiharanishi","Nagano (JR)","2H-",120000,"","100",1100,"Semi-trapezoidal Shaped","10.0","","","","","Southwest","City Road",5.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
47,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Takada","Nagano (JR)","30-60minutes",15000000,"","175",87000,"Semi-shaped","17.0","","","","","Northeast","City Road",3.5,"Semi-industrial District",60,200,"2nd quarter 2014",""
48,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Takada","Nagano (JR)","30-60minutes",3000000,"","200",,"Semi-trapezoidal Shaped","","95","1973","W","House","No facing road","",,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
49,"Residential Land(Land Only)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Takada","Nagano (JR)","28",14000000,"","165",86000,"Semi-trapezoidal Shaped","15.0","","","","","Southwest","City Road",4.5,"Category 1 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
50,"Residential Land(Land Only)","Potential Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Takada","Nagano (JR)","30-60minutes",22000000,"","520",42000,"Semi-rectangular Shaped","29.5","","","","","North","City Road",6.6,"Category 1 Residential District",60,200,"2nd quarter 2014",""
51,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Tambajima","Kawanakajima","26",15000000,"","280",,"Rectangular Shaped","13.0","165","1979","W","Housing Complex, Office, Workshop","East","City Road",7.2,"Category 2 Residential District",60,200,"2nd quarter 2014",""
52,"Residential Land(Land and Building)","Commercial Area","20201","Nagano Prefecture","Nagano City","Oaza Tsuruga","Gondo","6",14000000,"","100",,"Rectangular Shaped","6.0","175","","W","Shop","West","City Road",4.0,"Commercial District",80,400,"2nd quarter 2014",""
53,"Pre-owned Condominiums, etc.","","20201","Nagano Prefecture","Nagano City","Oaza Tsuruga","Gondo","4",12000000,"3LDK","65",,"","","","1992","RC","House","","",,"Near Commercial District",80,300,"2nd quarter 2014","Dealings of non-redecorating real estate"
54,"Pre-owned Condominiums, etc.","","20201","Nagano Prefecture","Nagano City","Oaza Tsuruga","Gondo","5",13000000,"2DK","70",,"","","","1990","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
55,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Togakushitoyooka","Nagano (JR)","2H-",3500000,"","340",,"Semi-shaped","7.5","170","","","","West","City Road",2.5,"Outside Urban Planning Area",,,"2nd quarter 2014",""
56,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Togakushitoyooka","Nagano (JR)","2H-",470000,"","780",,"Trapezoidal Shaped","32.0","60","1997","W","House","East","City Road",3.0,"Outside Urban Planning Area",,,"2nd quarter 2014",""
57,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Tomitake","Asahi","15",12000000,"","150",,"Rectangular Shaped","10.5","100","1987","W","House","Northwest","City Road",4.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
58,"Residential Land(Land and Building)","Residential Area","20201","Nagano Prefecture","Nagano City","Oaza Tomitake","Asahi","14",10000000,"","230",,"Rectangular Shaped","17.0","90","1985","W","House","Northeast","City Road",5.0,"Semi-industrial District",60,200,"2nd quarter 2014",""
59,"Residential Land(Land Only)","Potential Residential Area","20201","Nagano Prefecture","Nagano City","Toyonomachiasano","Toyono","16",9200000,"","640",14000,"Rectangular Shaped","20.0","","","","","Southeast","City Road",4.0,"Industrial District",60,200,"2nd quarter 2014",""
