"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Building use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Remarks"
22,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Kitamurocho","Kintetsunara","9",24000000,"3LDK","70",,"","","","2000","RC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
23,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Koinokubo","Shinomiya","17",17000000,"","155",110000,"Semi-shaped","","","","","","East","Road",8.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
24,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Saidaijiakodacho","Ayameike","10",4500000,"","75",59000,"Irregular Shaped","15.7","","","","","South","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
25,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Saidaijikunimicho","Yamatosaidaiji","8",27000000,"","130",210000,"Rectangular Shaped","8.6","","","","","South","City Road",5.5,"Category 2 Exclusive Mid-high Rise Residential District",60,200,"2nd quarter 2014",""
26,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Saidaijishindencho","Yamatosaidaiji","6",44000000,"","165",,"Semi-rectangular Shaped","14.8","110","2014","W","House","West","Private Road",6.0,"Category 1 Exclusive Low Rise Residential District",50,80,"2nd quarter 2014",""
27,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Sahodai","Narayama","9",21000000,"","220",97000,"Irregular Shaped","26.0","","","","","East","Private Road",6.0,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
28,"Residential Land(Land Only)","Commercial Area","29201","Nara Prefecture","Nara City","Sanjooji","Shinomiya","18",55000000,"","330",160000,"Rectangular Shaped","22.8","","","","","East","National Highway",47.0,"Near Commercial District",80,200,"2nd quarter 2014",""
29,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Sanjosoekawacho","Nara","11",19000000,"","230",83000,"Rectangular Shaped","12.0","","","","","North","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
30,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Sanjocho","Nara","4",9500000,"3LDK","65",,"","","","1982","SRC","House","","",,"Commercial District",80,400,"2nd quarter 2014","Dealings of non-redecorating real estate"
31,"Pre-owned Condominiums, etc.","","29201","Nara Prefecture","Nara City","Sanjomiyamaecho","Nara","7",20000000,"3LDK","75",,"","","","2001","RC","House","","",,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of non-redecorating real estate"
32,"Residential Land(Land Only)","Residential Area","29201","Nara Prefecture","Nara City","Shikishimacho","Ayameike","15",7800000,"","105",73000,"Irregular Shaped","2.5","","","","","North","Private Road",4.0,"Category 1 Residential District",60,200,"2nd quarter 2014","Dealings of adjacent land"
33,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Shikishimacho","Ayameike","14",8000000,"","115",,"Trapezoidal Shaped","6.5","85","1977","RC","House","Northwest","Private Road",4.5,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
34,"Residential Land(Land and Building)","Residential Area","29201","Nara Prefecture","Nara City","Shijooji","Shinomiya","21",35000000,"","130",,"Semi-rectangular Shaped","8.5","115","2014","W","House","East","Private Road",7.0,"Category 1 Residential District",60,200,"2nd quarter 2014",""
35,"Residential Land(Land Only)","Potential Residential Area","29201","Nara Prefecture","Nara City","Shijooji","Shinomiya","26",10000000,"","570",18000,"Semi-rectangular Shaped","17.0","","","","","No facing road","",,"Category 1 Exclusive Low Rise Residential District",40,60,"2nd quarter 2014",""
